customer_id,satisfaction_score,survey_date,tier,points
C084,1.0,2023-12-01,,
C054,2.0,2023-12-02,Bronze,3990.0
C071,9.0,2023-12-03,Platinum,7037.0
C046,6.0,2023-12-04,Bronze,7803.0
C045,7.0,2023-12-05,Silver,5163.0
C040,2.0,2023-12-06,,
C023,5.0,2023-12-07,,
C081,9.0,2023-12-08,,
C011,4.0,2023-12-09,,
C001,8.0,2023-12-10,Platinum,436.0
C019,4.0,2023-12-11,,
C031,2.0,2023-12-12,Platinum,9171.0
C074,10.0,2023-12-13,,
C034,5.0,2023-12-14,Bronze,7104.0
C091,4.0,2023-12-15,Platinum,3849.0
C005,1.0,2023-12-16,Platinum,896.0
C077,4.0,2023-12-17,Gold,6621.0
C078,8.0,2023-12-18,Platinum,3651.0
C013,8.0,2023-12-19,Platinum,2372.0
C032,7.0,2023-12-20,Gold,148.0
C056,7.0,2023-12-21,,
C089,5.0,2023-12-22,Silver,6535.0
C027,10.0,2023-12-23,Gold,3753.0
C043,6.0,2023-12-24,Gold,6486.0
C070,9.0,2023-12-25,Silver,6440.0
C016,6.0,2023-12-26,,
C041,3.0,2023-12-27,,
C097,2.0,2023-12-28,,
C010,8.0,2023-12-29,Bronze,5139.0
C073,3.0,2023-12-30,Bronze,370.0
C012,9.0,2023-12-31,Gold,1874.0
C048,5.0,2024-01-01,,
C086,2.0,2024-01-02,Silver,7294.0
C029,10.0,2024-01-03,Gold,1921.0
C094,10.0,2024-01-04,,
C006,8.0,2024-01-05,Platinum,1408.0
C067,5.0,2024-01-06,,
C066,5.0,2024-01-07,Bronze,1140.0
C036,4.0,2024-01-08,Gold,4281.0
C017,2.0,2024-01-09,Silver,2792.0
C050,5.0,2024-01-10,,
C035,5.0,2024-01-11,,
C008,3.0,2024-01-12,,
C096,4.0,2024-01-13,Platinum,3504.0
C028,2.0,2024-01-14,,
C020,5.0,2024-01-15,Gold,5368.0
C082,8.0,2024-01-16,Platinum,2960.0
C026,4.0,2024-01-17,,
C063,3.0,2024-01-18,Bronze,6917.0
C014,4.0,2024-01-19,,
C009,,,Platinum,3169.0
C083,,,Platinum,8695.0
C064,,,Silver,608.0
C051,,,Silver,4474.0
C024,,,Gold,1068.0
C061,,,Silver,7146.0
C025,,,Platinum,2922.0
C039,,,Platinum,917.0
C057,,,Platinum,4428.0
C076,,,Bronze,4469.0
C030,,,Bronze,5383.0
C092,,,Silver,412.0
C042,,,Silver,7188.0
C022,,,Bronze,5711.0
C085,,,Bronze,1299.0
C088,,,Bronze,3790.0
C098,,,Platinum,130.0
C021,,,Bronze,8909.0
C090,,,Silver,7908.0
C038,,,Platinum,694.0
C060,,,Platinum,1855.0
C002,,,Silver,828.0
C075,,,Bronze,6581.0
C080,,,Silver,9167.0
C015,,,Bronze,3748.0
C055,,,Bronze,6183.0
C052,,,Silver,3146.0
C007,,,Silver,5415.0
C099,,,Gold,6076.0
C044,,,Platinum,4665.0
